C05488	11-Deoxycortisol
C04022	S,S-Dimethyl-beta-propiothetin
C15809	Iminoglycine
C16850	2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid
C15793	Typhasterol
C07663	Moxifloxacin
C05796	Galactan
C02237	5-Oxo-D-proline
C20898	Lipoteichoic acid
C19946	3-Oxo-5,6-dehydrosuberyl-CoA semialdehyde
C16264	2-Hydroxy-6-oxo-6-(2-carboxyphenyl)-hexa-2,4-dienoate
C06023	D-Glucosaminide
C05776	Vitamin B12
C14842	Bromobenzene-2,3-dihydrodiol
C00204	2-Dehydro-3-deoxy-D-gluconate
C01528	Hydrogen selenide
C11981	Avermectin B1a monosaccharide
C06128	GM4
C17584	Xylostasin
C00088	Nitrite
C07214	2-Methylbenzaldehyde
C05285	Adrenosterone
C17712	Paromomycin II
C01358	NH4OH
C00318	L-Carnitine
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate
C16577	Codeine-6-glucuronide
C03677	4,21-Dehydrogeissoschizine
C02775	2,3-Dihydroxyindole
C05127	N-Methylhistamine
C14789	N-Hydroxy-1-aminonaphthalene
C16243	Cobalt-precorrin 5B
C01935	Maltodextrin
C05427	Phytyl diphosphate
C20407	Pentalenolactone
C10447	3,4-Dihydroxyphenylpropanoate
C21632	2-Hydroxyparaconate
C20793	3-Hydroxyoctanoate
C01284	1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
C03203	1-Hydroxy-2-naphthoate
C06706	Lipo-oligosaccharide
C12624	2-Hydroxy-6-ketononatrienedioate
C15806	Syringyl lignin
C02972	Dihydrolipoylprotein
C05465	Taurochenodeoxycholate
C00497	(R)-Malate
C02855	N-Phospho-D-lombricine
C00218	Methylamine
C18045	7alpha-Hydroxydehydroepiandrosterone
C03824	2-Aminomuconate semialdehyde
C02617	1,4-Naphthoquinone
C01217	5,6,7,8-Tetrahydromethanopterin
C05944	Pantothenol
C20359	UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate
C14853	Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide
C11966	Avermectin A1b monosaccharide
C15849	Angiotensin IV
C17235	L-Homophenylalanine
C01794	Choloyl-CoA
C20327	2-Oxo-4-phenylbutyric acid
C15976	2-Methyl-1-hydroxypropyl-ThPP
C05551	Penicillin G
C00157	Phosphatidylcholine
C21339	4-Deoxy-4-thio-alpha-D-digitoxosyl-calicheamicin T0
C04638	2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate
C19525	Sudan I
C05917	Iodopsin
C14875	S-(2-Hydroxyethyl)glutathione
C06662	Clavulanic acid
C21127	Holyrine A
C03194	(R)-1-Aminopropan-2-ol
C11088	1,2-Dibromoethane
C06669	(5R)-Carbapen-2-em-3-carboxylate
C07966	Cerivastatin
C11968	Avermectin A1b
C20289	N-Hydroxy-IQ
C00053	3'-Phosphoadenylyl sulfate
C02462	Sabinene hydrate
C09812	2-Hydroxycyclohexane-1-carboxyl-CoA
C16482	2-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate
C05175	Stylopine
C00026	2-Oxoglutarate
C04295	Androstenediol
C01367	3'-AMP
C02538	Estrone 3-sulfate
C20737	6-Geranylgeranyl-2-methylbenzene-1,4-diol
C15996	7-Cyano-7-carbaguanine
C02962	D-Allose 6-phosphate
C07240	Ritonavir
C07073	Lidocaine
C11508	4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol
C00047	L-Lysine
C11961	6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''1b'' aglycone
C01234	1-Aminocyclopropane-1-carboxylate
C14909	9alpha-Hydroxyandrosta-1,4-diene-3,17-dione
C04242	5-Fluorodeoxyuridine monophosphate
C02530	Cholesterol ester
C06143	Poly-beta-hydroxybutyrate
C02591	Sucrose 6'-phosphate
C01946	Oleandomycin
C06047	Stizolobate
C16625	Isoniazid alpha-ketoglutaric acid
C04546	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate
C16335	OPC4-CoA
C15923	L-Gulose
C14854	9-Hydroxybenzo[a]pyrene-4,5-oxide
C18032	dTDP-4-oxo-2,3,6-trideoxy-D-glucose
C18030	dTDP-2,6-dideoxy-D-kanosamine
C05625	Rutin
C05744	Acetoacetyl-[acp]
C05544	Protein N6-methyl-L-lysine
C06707	Teichoic acid
C06837	Azathioprine
C05263	3-Oxododecanoyl-CoA
C00380	Cytosine
C05578	5,6-Dihydroxyindole
C17412	Shikonin
C21068	[5-(Aminomethyl)furan-3-yl]methyl phosphate
C06187	Arbutin 6-phosphate
C05284	11beta-Hydroxyandrost-4-ene-3,17-dione
C00369	Starch
C05571	Thiourocanic acid
C06654	4-Amino-anhydrotetracycline
C18125	1-Acyl-sn-glycero-3-phosphoserine
C04592	Toluene-cis-dihydrodiol
C18031	dTDP-D-angolosamine
C10700	4'-Hydroxyacetophenone
C14863	2-(S-Glutathionyl)acetyl glutathione
C00385	Xanthine
C16362	3,6,8-Trimethylallantoin
C11516	2-(alpha-D-Mannosyl)-3-phosphoglycerate
C20351	2'-Deamino-2'-hydroxy-6'-dehydroparomamine
C15805	Guaiacyl lignin
C00362	dGMP
C05556	delta-(L-2-Aminoadipyl)-L-cysteinyl-D-valine
C02376	5-Methylcytosine
C00078	L-Tryptophan
C05377	Menadione
C16737	5-Deoxy-D-glucuronate
C16549	alpha-Hydroxy-N-desmethyltamoxifen
C05645	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate
C09819	(Hydroxymethylphenyl)succinyl-CoA
C00181	D-Xylose
C02188	Protein lysine
C15812	[Enzyme]-S-sulfanylcysteine
C00094	Sulfite
C16563	Bis(glutathionyl)spermine
C07028	N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate
C15858	7,9,7',9'-tetracis-Lycopene
C05670	3-Aminopropiononitrile
C00640	(3S)-3-Hydroxyacyl-CoA
C12204	5-Hydroxyconiferaldehyde
C16353	7-Methylxanthine
C22121	Cycloeucalenone
C02565	N-Methylhydantoin
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]
C00440	5-Methyltetrahydrofolate
C02291	L-Cystathionine
C12422	Methyl aklanonate
C06758	p-Tolualdehyde
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]
C02480	cis,cis-Muconate
C16346	17-Hydroxylinolenic acid
C21613	(R)-2-(Phosphonomethyl)malate
C05655	5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate
C20825	Seminolipid
C12348	3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]
C05439	5alpha-Cholesta-7,24-dien-3beta-ol
C14775	14,15-DHET
C00430	5-Aminolevulinate
C14790	1-Naphthylamine
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C05122	Taurocholate
C01959	Taurocyamine
C16359	1-Methyluric acid
C01825	L-Galactose
C21435	Geranylgeranyl bacteriochlorophyllide b
C00524	Cytochrome c
C20267	4-Amino-5-aminomethyl-2-methylpyrimidine
C00328	L-Kynurenine
C14821	9(S)-HPETE
C22006	(R)-(Indol-3-yl)lactate
C01941	Nocardicin A
C05469	17alpha,21-Dihydroxy-5beta-pregnane-3,11,20-trione
C20239	6-Carboxy-5,6,7,8-tetrahydropterin
C03872	L-Serine-phosphoethanolamine
C01917	Gentamicin A
C21511	Nickel-sirohydrochlorin a,c-diamide
C14849	Benzo[a]pyrene-9,10-oxide
C02049	Limit dextrin
C12981	dl-alpha-Tocopherol nicotinate
C00349	2-Methyl-3-oxopropanoate
C05922	Formamidopyrimidine nucleoside triphosphate
C20282	1-(4-Hydroxyphenylazo)-naphthalene-2,6-diol
C14771	14,15-EET
C05107	7-Dehydrodesmosterol
C01241	Phosphatidyl-N-methylethanolamine
C11967	Avermectin B1b
C11965	Avermectin B1b monosaccharide
C01620	Threonate
C02686	Galactosylceramide
C11811	1-Hydroxy-2-methyl-2-butenyl 4-diphosphate
C14784	1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene
C20942	Bacilysin
C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C00024	Acetyl-CoA
C05172	Selenophosphoric acid
C02232	3-Oxoadipyl-CoA
C03166	Phosphoguanidinoacetate
C00558	D-Tagaturonate
C21571	2-Methyl-3-n-amyl-dihydropyrrole
C21320	3,6,8-Trihydroxy-2-naphthoate
C02515	3-Iodo-L-tyrosine
C16387	(2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexaenoyl-CoA
C20419	CMP-N,N'-diacetyllegionaminate
C07479	2-Oxo-5-methyl-cis-muconate
C01419	Cys-Gly
C18356	(S)-Hemiketal
C04732	5-Amino-6-(1-D-ribitylamino)uracil
C14768	5,6-EET
C06594	1,2,4-Trichlorobenzene
C07054	Isoniazid
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate
C01194	1-Phosphatidyl-D-myo-inositol
C06397	ADP-D-glycero-beta-D-manno-heptose
C00500	Biliverdin
C20738	6-Geranylgeranyl-2,3-dimethylbenzene-1,4-diol
C16524	3'-N-Debenzoyltaxol
C19190	Trehalose-6,6'-dibehenate
C16610	Citalopram propionic acid
C01242	S-Aminomethyldihydrolipoylprotein
C05961	6-Keto-prostaglandin F1alpha
C05470	Tetrahydrocortisone
C03458	2,3,6-Trihydroxypyridine
C14826	12(13)-EpOME
C17203	N-Hydroxyl-tryptamine
C06772	Diethanolamine
C11038	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate
C15519	25-Hydroxycholesterol
C04377	5,10-Methylenetetrahydromethanopterin
C04324	(1E,3E)-4-Hydroxybuta-1,3-diene-1,2,4-tricarboxylate
C01094	D-Fructose 1-phosphate
C01841	Pentalenene
C13636	4-Hydroxyphenyl acetate
C05473	11beta,21-Dihydroxy-3,20-oxo-5beta-pregnan-18-al
C00623	sn-Glycerol 1-phosphate
C19578	5-(3-Pyridyl)-2-hydroxytetrahydrofuran
C21104	2,5-Dichloro-p-benzoquinone
C03427	Prephytoene diphosphate
C14810	Hepoxilin B3
C16217	3-Hydroxyoctadecanoyl-CoA
C07056	Isoproterenol
C14805	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene
C00461	Chitin
C00122	Fumarate
C16331	OPC6-CoA
C20976	8-Demethyl-8-(2,3-di-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
C20672	GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose
C07304	Deacetylisoipecoside
C07065	Lamivudine
C20404	1-Deoxypentalenate
C02336	beta-D-Fructose
C00036	Oxaloacetate
C11680	Cathenamine
C06633	Erythromycin D
C17246	6-Methylthiohexanaldoxime
C14865	2-(S-Glutathionyl)acetyl chloride
C03190	(+)-Bornyl diphosphate
C11612	Polymyxin B
C06552	Hydroxyatrazine
C16531	Docosenoyl-CoA
C00003	NAD+
C01172	beta-D-Glucose 6-phosphate
C01222	GDP-4-dehydro-6-deoxy-D-mannose
C01747	Psychosine
C02659	Acetone cyanohydrin
C20951	LysW-L-ornithine
C02630	2-Hydroxyglutarate
C06341	7alpha,27-Dihydroxycholesterol
C05223	Dodecanoyl-[acyl-carrier protein]
C06582	2-Hydroxy-6-oxo-7-methylocta-2,4-dienoate
C01508	L-Lyxose
C05548	6-Acetamido-2-oxohexanoate
C19686	3-(1-Carboxyvinyloxy)anthranilate
C21322	3-Hydroxy-6,7,8-trimethoxy-2-naphthoate
C19368	Chromiu
C17585	Butirosin A
C14800	1-Nitronaphthalene-5,6-oxide
C06232	Molybdate
C20384	Bisnorbiotin
C17549	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine
C12271	N-Arachidonyl dopamine
C18802	Tetrahydrosarcinapterin
C00214	Thymidine
C13202	alpha-Tocopherol acetate
C04785	13(S)-HPOT
C00881	Deoxycytidine
C12423	Aklaviketone
C16570	4-Hydroxy-2,6-dimethylaniline
C15892	Chloroxanthin
C19579	gamma-Hydroxy-3-pyridinebutanoate
C01829	Thyroxine
C00217	D-Glutamate
C09699	Longifolene
C11977	6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''1a'' aglycone
C21313	3,6-Dimethylsalicylyl-CoA
C12623	trans-2,3-Dihydroxycinnamate
C08320	Tetracosanoic acid
C09179	Resiniferatoxin
C11695	Anandamide
C15607	3-Oxo-3-ureidopropanoate
C03150	Nicotinamide-beta-riboside
C02353	2',3'-Cyclic AMP
C06627	4-Keto-anhydrotetracycline
C16645	(13Z,16Z)-Docosadienoyl-CoA
C19586	Aflatoxin B1-exo-8,9-epoxide
C11145	Methanesulfonic acid
C02892	Thiamine acetic acid
C00372	Dextran
C05147	trans-3-Hydroxy-L-proline
C01216	2-Dehydro-3-deoxy-D-galactonate
C03242	(8Z,11Z,14Z)-Icosatrienoic acid
C03323	(2,1-beta-D-Fructosyl)n
C17582	2'-N-Acetylparomamine
C00232	Succinate semialdehyde
C00808	(+)-Camphor
C01817	L-Homocystine
C00429	5,6-Dihydrouracil
C12474	Novobiocic acid
C02714	N-Acetylputrescine
C00020	AMP
C16719	(-)-Norephedrine
C06046	Salidroside
C05950	20-COOH-Leukotriene B4
C16138	L-Pyrrolysine
C17268	Pyruvophenone
C08426	Sinalbin
C04793	3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione
C00584	Prostaglandin E2
C14145	(3S)-3-Hydroxyadipyl-CoA
C02987	L-Glutamyl-tRNA(Glu)
C03231	3-Methylglutaconyl-CoA
C19152	Coenzyme F420-1
C21924	9-Hydroxy-12-oxo-15(Z)-octadecenoic acid
C06377	D-Galactosamine 6-phosphate
C05829	N-Carbamyl-L-glutamate
C01233	sn-Glycero-3-phosphoethanolamine
C20784	ADP-5-ethyl-4-methylthiazole-2-carboxylate
C06503	Hydrogenobyrinate a,c diamide
C21754	Isonicotinoyl radical
C03577	20-Hydroxyleukotriene E4
C20296	Arseni
C21963	(13Z,16Z,19Z,22Z)-Octacosatetraenoyl-CoA
C06505	Cob(I)yrinate a,c diamide
C21751	5-Fluorodeoxyuridine triphosphate
C00333	D-Galacturonate
C11587	BQ 123
C05421	15-cis-Phytoene
C05448	(24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA
C16753	Aflatoxin B2
C17252	7-Methylthioheptyl glucosinolate
C05653	Formylanthranilate
C14783	1,2-Naphthoquinone
C21412	(10aS)-10,10a-Dihydrophenazine-1-carboxylate
C00291	Nickel
C16597	(-)-threo-Iso(homo)2-citrate
C17562	2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
C17238	S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine
C06212	N-Methylserotonin
C21935	(6Z,9Z)-Octadecadienoyl-CoA
C04877	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate
C00514	D-Mannonate
C00532	L-Arabitol
C16606	Carbamazepine-o-quinone
C00976	GDP-D-mannuronate
C15610	Cholest-5-ene-3beta,26-diol
C21873	2-Methylquinolin-4-ol
C19180	2-Amino-3-methylimidazo[4,5-f]quinoline
C20385	Tetranorbiotin
C11469	Calicheamicin gamma(1)I
C17214	2-(3'-Methylthio)propylmalic acid
C01069	Desulfoglucotropeolin
C01851	Scopolamine
C07493	10-Hydroxycarbazepine
C06762	4-Hydroxy-2-oxohexanoic acid
C03740	(5-L-Glutamyl)-L-amino acid
C02995	Maltose 6'-phosphate
C00570	CDP-ethanolamine
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine
C20045	Verruculogen
C02411	Glutaconyl-1-CoA
C03827	2-Dehydro-3-deoxy-L-fuconate
C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
C16317	(+)-7-Isojasmonic acid
C06800	Aflatoxin B1
C03313	Phylloquinol
C03459	2-Hydroxy-3-oxosuccinate
C17944	Rhizocticin A
C21125	Chromopyrrolate
C21262	6'''-Deamino-6'''-hydroxyparomomycin II
C03461	2-trans,6-trans-Farnesal
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate
C00476	D-Lyxose
C02727	N6-Acetyl-L-lysine
C18094	UDP-L-arabinofuranose
C16513	(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoic acid
C00167	UDP-glucuronate
C00290	Fibrin
C05005	Glycolipid
C05953	Prostaglandin A2
C06555	Biuret
C05790	I-Urobilinogen
C03557	2-Aminoethylphosphonate
C00313	Oxalyl-CoA
C02380	6-Mercaptopurine
C20973	Angiotensi
C21434	12-Ethyl-8-isobutylbacteriochlorophyllide d
C06547	Ethylene
C01888	Aminoacetone
C18007	4-Aminobutyryl-[acp]
C05848	4-Hydroxy-3-polyprenylbenzoate
C07207	Zalcitabine
C16602	3-Hydroxycarbamazepine
C11850	Divinylchlorophyll a
C21136	Violacein
C16540	7(1)-Hydroxychlorophyllide a
C07639	3,3',5'-Triiodo-L-thyronine
C05533	Oxaloglutarate
C02061	Plastoquinone
C21301	Kedarcidin chromophore
C14040	1-Nitronaphthalene
C00163	Propanoate
C05336	Selenomethionyl-tRNA(Met)
C06038	Acyl1-monogalactosyl-diacylglycerol
C18237	Molybdoenzyme molybdenum cofactor
C02153	Glucotropaeolin
C04002	(Z)-But-1-ene-1,2,4-tricarboxylate
C20782	(S)-2-Phenyloxirane
C18232	N-Formylmaleamic acid
C00116	Glycerol
C06424	Tetradecanoic acid
C00417	cis-Aconitate
C01732	Mesaconate
C08439	Phalloidin
C06198	P1,P4-Bis(5'-uridyl) tetraphosphate
C04053	5-Dehydro-4-deoxy-D-glucuronate
C03838	5'-Phosphoribosylglycinamide
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C20400	1-Deoxy-11-oxopentalenate
C19913	Phospho-anandamide
C19594	Aflatoxin-M1-8,9-epoxide
C15977	[Dihydrolipoyllysine-residu
C02469	Uroporphyrin III
C05690	Se-Methylselenomethionine
C04796	4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde
C01762	Xanthosine
C06203	trans-o-Hydroxybenzylidenepyruvate
C21345	5-Iodo-2-methoxyorsellinate-[acp]
C16390	(S)-2-(Hydroxymethyl)glutarate
C00894	Propenoyl-CoA
C20935	2-5A
C05490	11-Dehydrocorticosterone
C06193	Guanosine 3'-phosphate
C06565	Deacetoxycephalosporin C
C19631	6-Hydroxy-3-succinoylpyridine
C00124	D-Galactose
C18168	Diacylglycerylhomoserine
C05174	(S)-Cheilanthifoline
C21134	Protoviolaceinic acid
C01684	D-Rhamnose
C00438	N-Carbamoyl-L-aspartate
C05914	Bathorhodopsin
C06125	Sulfatide
C21252	6'-Oxokanamycin C
C03561	(R)-3-Hydroxybutanoyl-CoA
C00025	L-Glutamate
C00164	Acetoacetate
C05176	(S)-N-Methylcoclaurine
C00129	Isopentenyl diphosphate
C01898	Cellodextrin
C04706	cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide
C03383	D-Galactono-1,4-lactone
C13433	9-cis-Violaxanthin
C01929	L-Histidinal
C00509	Naringenin
C15563	2-Amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one
C01558	Bile salt
C20955	3-(Methylthio)acryloyl-CoA
C05341	beta-Alanyl-L-lysine
C05676	Diacylglyceryl-N-trimethyl-2-aminoethylphosphonate
C01215	2-(Acetamidomethylene)succinate
C02554	L-Valyl-tRNA(Val)
C08325	Amygdalin
C18709	Decaketide tricyclic intermediate
C16568	Homotrypanothione disulfide
C08409	Glucoerucin
C05751	trans-Oct-2-enoyl-[acp]
C14782	11,12,15-THETA
C07108	Tamoxifen
C06580	2,3-Dihydroxy-p-cumate
C02991	L-Rhamnono-1,4-lactone
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C16352	7-Methylxanthosine
C11897	Taxa-4(20),11(12)-dien-5alpha,13alpha-diol
C09244	Tabersonine
C05316	Dihydromacarpine
C00032	Heme
C20298	Arseni
C17227	3-(6'-Methylthio)hexylmalic acid
C05834	3-Methyldioxyindole
C12285	Sucralose
C17243	4-Methylthiobutylthiohydroximate
C00112	CDP
C00556	Benzyl alcohol
C02220	2-Aminomuconate
C12381	Elloramycin A
C21429	12-Ethyl-8-isobutyl-3-vinylbacteriochlorophyllide d
C07031	N-Acetyl-O-demethylpuromycin
C00427	Prostaglandin H2
C20683	Long-chain acyl-[acyl-carrier protein]
C20396	Methylphosphonate
C12462	beta-Hydroxy-L-tyrosyl-[pcp]
C06186	Arbutin
C17945	Phosphonoformyl-CMP
C20314	N,N-Dihydroxy-L-valine
C01007	Reduced riboflavin
C05345	beta-D-Fructose 6-phosphate
C05313	3-Hexaprenyl-4-hydroxy-5-methoxybenzoate
C20199	3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate
C19561	7-Hydroxymethyl-12-methylbenz[a]anthracene
C04051	5-Amino-4-imidazolecarboxyamide
C11894	Taxa-4(5),11(12)-diene
C00696	Prostaglandin D2
C20526	10,11-Epoxy-3-geranylgeranylindole
C00325	GDP-L-fucose
C19831	(1R,6S)-6-Amino-5-oxocyclohex-2-ene-1-carboxylate
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate
C16527	Adrenic acid
C06657	Guanidinoproclavaminic acid
C21481	1-Octadecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycero-3-phosphoethanolamine
C09107	Catharanthine
C01099	L-Fuculose 1-phosphate
C00846	3-Oxoadipate
C17355	Nocardicin G
C19971	UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose
C06712	Fluoren-9-one
C16558	Alcoifosfamide
C02166	Leukotriene C4
C05452	3alpha,7alpha-Dihydroxy-5beta-cholestane
C21368	GDP-valienol
C04405	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA
C20333	N2-Citryl-N6-acetyl-N6-hydroxy-L-lysine
C02474	Arabinan
C20301	alpha-Hydroxy-NDMA
C06320	Precorrin 6X
C01100	L-Histidinol phosphate
C14785	1,4-Dihydroxynaphthalene
C06892	2-Deoxy-5-keto-D-gluconic acid
C04122	D-1-Aminopropan-2-ol O-phosphate
C02160	Isomaltotriose
C20423	alpha-D-Ribose 1-methylphosphonate 5-phosphate
C11916	dTDP-L-mycarose
C05772	Precorrin 3A
C00862	Methanofuran
C01019	6-Deoxy-L-galactose
C00535	Testosterone
C16171	(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA
C00673	2-Deoxy-D-ribose 5-phosphate
C00798	Formyl-CoA
C06367	1-Carboxyvinyl carboxyphosphonate
C04604	3-Hydroxy-2-methylpyridine-4,5-dicarboxylate
C15799	6-Deoxoteasterone
C16339	(+)-7-Isojasmonic acid CoA
C01555	Apramycin
C20698	2-Aminoethyl diphenylborinate
C00195	N-Acylsphingosine
C15884	2-Ketospirilloxanthin
C00330	Deoxyguanosine
C18162	Bacteriochlorophyll d
C00879	D-Galactarate
C00460	dUTP
C00132	Methanol
C12366	Tetracenomycin F2
C00146	Phenol
C16360	3,7-Dimethyluric acid
C14209	4-Hydroxyestradiol-17beta
C06196	2'-Deoxyinosine 5'-phosphate
C19151	Coenzyme F420-3
C05411	L-Xylonate
C03175	Shikimate 3-phosphate
C03479	Folinic acid
C17346	(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
C06126	Digalactosylceramide
C00685	3-Oxoacyl-[acyl-carrier protein]
C05598	Phenylacetylglycine
C20857	2,7-Dihydroxy-5-methyl-1-naphthoate
C00873	Angiotensin I
C04076	L-2-Aminoadipate 6-semialdehyde
C11434	2-C-Methyl-D-erythritol 4-phosphate
C22073	2-[(2-Aminoethylcarbamoyl)methyl]-2-hydroxybutanedioate
C00783	Tropinone
C05489	11beta,17alpha,21-Trihydroxypregnenolone
C16143	(1E,4S,5E,7R)-Germacra-1(10),5-dien-11-ol
C05637	4,8-Dihydroxyquinoline
C18026	(2S)-Ethylmalonyl-CoA
C16653	2-n-Propyl-2-pentenoic acid
C00131	dATP
C05102	alpha-Hydroxy fatty acid
C19153	Coenzyme F420-0
C11460	dTDP-4-oxo-5-C-methyl-L-rhamnose
C11545	Cobalt-precorrin 8
C00229	Acyl-carrier protein
C01261	P1,P4-Bis(5'-guanosyl) tetraphosphate
C15895	3,4-Dihydrospheroidene
C16319	Etherolenic acid
C05392	Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group
C21086	(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate
C05783	Cytochrome a
C01937	Methotrexate
C11536	(2R)-O-Phospho-3-sulfolactate
C21967	(10Z,13Z,16Z,19Z,22Z)-Octacosapentaenoyl-CoA
C04494	Guanosine 3'-diphosphate 5'-triphosphate
C19562	7-Hydroxymethyl-12-methylbenz[a]anthracene sulfate
C00603	(S)-Ureidoglycolate
C05587	3-Methoxytyramine
C11133	Estrone glucuronide
C12379	8-Demethyltetracenomycin C
C20529	14,15-Epoxyemindole SB
C16618	6-Thioxanthine 5'-monophosphate
C16355	7-Methyluric acid
C15816	3-Keto-4-methylzymosterol
C20870	3-(Methylthio)propanoyl-CoA
C06195	Imidazolone
C14822	12(R)-HETE
C00937	(R)-Lactaldehyde
C18172	Carboxyspermidine
C00059	Sulfate
C00042	Succinate
C16552	Nornitrogen mustard
C01477	Apigenin
C00450	(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate
C00708	Iodide
C04148	Phenylacetylglutamine
C14860	2,2-Dichloro-1,1-ethanediol
C00117	D-Ribose 5-phosphate
C18353	Octaketide bicyclic intermediate
C00543	Dimethylamine
C14834	9,10-Epoxy-13-hydroxy-11-octadecenoate
C18332	7,9,12-Decaketide intermediate 3
C15877	Anhydrorhodovibrin
C04368	3-Amino-3-(4-hydroxyphenyl)propanoate
C20305	1,2-Dichloroethanol
C01134	Pantetheine 4'-phosphate
C01861	Trithionate
C17942	FR 900098
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide
C16516	Indolylmethylthiohydroximate
C15795	22alpha-Hydroxy-campesterol
C00173	Acyl-[acyl-carrier protein]
C01720	L-Fuconate
C00707	Xylan
C16521	Isoprene
C18126	1-Acyl-sn-glycero-3-phosphoglycerol
C01931	L-Lysyl-tRNA
C06322	Cyclohexa-1,5-diene-1-carbonyl-CoA
C06629	6-Methylpretetramide
C18131	Geranyl-hydroxybenzoate
C07075	Lindane
C18157	8-Ethyl-12-methyl-3-vinylbacteriochlorophyllide d
C11910	dTDP-3-amino-3,4,6-trideoxy-D-glucose
C16679	all-trans-18-Hydroxyretinoic acid
C04702	UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)
C05481	Cortolone
C02800	4,5-Dioxopentanoate
C00136	Butanoyl-CoA
C00925	Heparan sulfate
C03167	Phosphonoacetaldehyde
C01242	[Protein]-S8-aminomethyldihydrolipoyllysine
C04351	(R)-2-Methylimino-1-phenylpropan-1-ol
C00235	Dimethylallyl diphosphate
C06144	3-Butynoate
C00588	Choline phosphate
C20896	D-Galactaro-1,4-lactone
C06042	Lipoteichoic acid
C00531	Itaconyl-CoA
C01182	D-Ribulose 1,5-bisphosphate
C12468	3-Amino-4,7-dihydroxycoumarin
C20889	D-Galactaro-1,5-lactone
C01322	RX
C04488	5-Methyl-5,6,7,8-tetrahydromethanopterin
C05669	beta-Nitropropanoate
C00583	Propane-1,2-diol
C00788	L-Adrenaline
C00207	Acetone
C02442	N-Methyltyramine
C00051	Glutathione
